nazwa;godzina_rozpoczecia;godzina_konca
Systemy operacyjne II ;16:15;18:00
Systemy operacyjne II ;12:15;14:00
Programowanie sieciowe ;14:15;16:00
Systemy operacyjne II ;10:15;12:00
Systemy operacyjne II ;12:15;14:00
Programowanie kart graficznych ;13:30;15:05
Programowanie 2 ;15:10;16:45
Programowanie 2 ;16:50;18:25
Programowanie w językach skryptowych ;08:15;10:00
Programowanie w językach skryptowych ;12:15;14:00
Programowanie sieciowe ;14:15;16:00
Systemy operacyjne II ;12:15;14:00
Programowanie w językach skryptowych ;14:15;16:00
Systemy operacyjne II ;10:15;12:00
Programowanie w językach skryptowych ;12:15;14:00
Systemy operacyjne II ;14:15;16:00
Programowanie 2 ;09:40;11:20
Programowanie 2 ;11:25;13:00
Programowanie kart graficznych ;13:30;15:05
Systemy operacyjne II ;12:15;14:00
Programowanie sieciowe ;14:15;16:00
Historia informatyki ;08:15;10:00
Systemy operacyjne II ;10:15;12:00
Systemy operacyjne II ;12:15;14:00
Programowanie kart graficznych ;11:25;13:00
Programowanie kart graficznych ;13:30;15:05
Programowanie 2 ;09:40;11:20
Programowanie 2 ;11:25;13:00
Programowanie kart graficznych ;13:30;15:05
Programowanie w językach skryptowych ;08:15;10:00
Programowanie sieciowe ;10:15;12:00
Programowanie w językach skryptowych ;12:15;14:00
Systemy operacyjne II ;12:15;14:00
Programowanie w językach skryptowych ;14:15;16:00
Systemy operacyjne II ;10:15;12:00
Programowanie w językach skryptowych ;12:15;14:00
Systemy operacyjne II ;14:15;16:00
Programowanie 2 ;08:00;09:35
Programowanie 2 ;09:40;11:20
Programowanie kart graficznych ;11:25;13:00
Programowanie kart graficznych ;15:10;16:45
Programowanie kart graficznych ;16:50;18:25
Systemy operacyjne II ;14:15;16:00
Systemy operacyjne II ;16:15;18:00
Systemy operacyjne II ;12:15;14:00
Programowanie sieciowe ;14:15;16:00
Systemy operacyjne II ;10:15;12:00
Systemy operacyjne II ;12:15;14:00
Programowanie w językach skryptowych ;14:15;16:00
Programowanie kart graficznych ;09:40;11:20
Programowanie kart graficznych ;11:25;13:00
Programowanie kart graficznych ;11:25;13:00
Programowanie 2 ;13:30;15:05
Programowanie kart graficznych ;15:10;16:45
Programowanie kart graficznych ;16:50;18:25
Programowanie w językach skryptowych ;08:15;10:00
Programowanie w językach skryptowych ;10:15;12:00
Programowanie w językach skryptowych ;12:15;14:00
Systemy operacyjne II ;12:15;14:00
Programowanie w językach skryptowych ;14:15;16:00
Systemy operacyjne II ;10:15;12:00
Programowanie w językach skryptowych ;12:15;14:00
Systemy operacyjne II ;14:15;16:00
Programowanie kart graficznych ;09:40;11:20
Programowanie kart graficznych ;11:25;13:00
Programowanie kart graficznych ;13:30;15:05
Programowanie kart graficznych ;15:10;16:45
Programowanie 2 ;08:00;09:35
Historia informatyki ;13:30;15:05
Systemy operacyjne II ;12:15;14:00
Programowanie sieciowe ;14:15;16:00
Historia informatyki ;08:15;10:00
Systemy operacyjne II ;10:15;12:00
Systemy operacyjne II ;12:15;14:00
Programowanie wizualne ;09:40;14:15
Programowanie 2 ;08:00;09:35
Programowanie wizualne ;09:40;14:15
Programowanie w językach skryptowych ;08:15;10:00
Programowanie sieciowe ;10:15;12:00
Programowanie w językach skryptowych ;12:15;14:00
Systemy operacyjne II ;12:15;14:00
Programowanie w językach skryptowych ;14:15;16:00
Systemy operacyjne II ;10:15;12:00
Programowanie w językach skryptowych ;12:15;14:00
Systemy operacyjne II ;14:15;16:00
Systemy operacyjne II ;12:15;14:00
Programowanie sieciowe ;14:15;16:00
Systemy operacyjne II ;10:15;12:00
Systemy operacyjne II ;12:15;14:00
Programowanie wizualne ;08:50;11:20
Programowanie wizualne ;11:25;14:15
Programowanie wizualne ;08:50;11:20
Programowanie wizualne ;11:25;14:15
Systemy operacyjne II ;12:15;14:00
Programowanie w językach skryptowych ;14:15;16:00
Systemy operacyjne II ;10:15;12:00
Programowanie w językach skryptowych ;12:15;14:00
Systemy operacyjne II ;14:15;16:00
Programowanie wizualne ;08:50;11:20
Programowanie wizualne ;11:25;14:15
Programowanie 2 ;15:10;16:45
Programowanie wizualne ;08:50;11:20
Programowanie wizualne ;11:25;14:15
Programowanie w językach skryptowych ;08:15;10:00
Programowanie sieciowe ;10:15;12:00
Programowanie w językach skryptowych ;12:15;14:00
Systemy operacyjne II ;12:15;14:00
Programowanie sieciowe ;14:15;16:00
Historia informatyki ;08:15;10:00
Systemy operacyjne II ;10:15;12:00
Systemy operacyjne II ;12:15;14:00
Programowanie 2 ;16:50;18:25
Programowanie 2 ;18:30;20:05
